2022-08-02 10:20:53,564 {'Time': '2022-08-02T10:20:02.93039852Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '33.244.1.139', 'P_src': '80', 'P_dst': '21038', 'event': 'Dos'}
2022-08-02 10:20:56,063 {'Time': '2022-08-02T10:20:02.614031593Z', 'Protocol': 'TCP', 'Source': '102.198.227.254', 'Destination': '192.168.137.247', 'P_src': '38740', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:56,065 {'Time': '2022-08-02T10:20:02.614055789Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '102.198.227.254', 'P_src': '80', 'P_dst': '38740', 'event': 'Dos'}
2022-08-02 10:20:56,067 {'Time': '2022-08-02T10:20:02.624846043Z', 'Protocol': 'TCP', 'Source': '51.41.100.12', 'Destination': '192.168.137.247', 'P_src': '38741', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:56,068 {'Time': '2022-08-02T10:20:02.624867883Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '51.41.100.12', 'P_src': '80', 'P_dst': '38741', 'event': 'Dos'}
2022-08-02 10:20:58,089 {'Time': '2022-08-02T10:20:03.91203892Z', 'Protocol': 'TCP', 'Source': '98.83.154.146', 'Destination': '192.168.137.247', 'P_src': '58896', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:58,090 {'Time': '2022-08-02T10:20:03.91225582Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '98.83.154.146', 'P_src': '80', 'P_dst': '58896', 'event': 'Dos'}
2022-08-02 10:20:58,091 {'Time': '2022-08-02T10:20:03.91204072Z', 'Protocol': 'TCP', 'Source': '183.173.143.150', 'Destination': '192.168.137.247', 'P_src': '58897', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:58,093 {'Time': '2022-08-02T10:20:03.91248107Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '183.173.143.150', 'P_src': '80', 'P_dst': '58897', 'event': 'Dos'}
2022-08-02 10:20:58,094 {'Time': '2022-08-02T10:20:03.91204108Z', 'Protocol': 'TCP', 'Source': '31.52.33.205', 'Destination': '192.168.137.247', 'P_src': '58898', 'P_dst': '80', 'event': 'Dos'}
